EVENT_ID,STATE,STATE_FIPS,YEAR,MONTH_NAME,EVENT_TYPE,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS,MAGNITUDE,CATEGORY,TOR_F_SCALE,TOR_LENGTH,TOR_WIDTH,BEGIN_LAT,BEGIN_LON
10131046,TEXAS,48,1980,June,Tornado,1,0,0,0,250K,0,0,,F2,4.3,100,31.83,-97.55
10129946,TEXAS,48,1980,October,Tornado,1,0,0,0,25K,0,0,,F2,2,50,31.72,-95.63
10018469,INDIANA,18,1980,June,Tornado,1,0,0,0,0K,0,0,,F0,0,33,39.57,-85.5
10131021,TEXAS,48,1980,June,Tornado,1,0,0,0,25K,0,0,,F2,2.5,100,32.83,-102.07
10146647,WISCONSIN,55,1980,June,Tornado,1,0,0,0,2.5M,0,0,,F3,26.9,33,43.67,-91.22
9991262,CALIFORNIA,6,1980,January,Tornado,1,0,0,0,250K,0,0,,F1,0.3,67,37.48,-121.88
10018478,INDIANA,18,1980,June,Tornado,1,0,0,0,25K,0,0,,F1,0,33,41.32,-85.75
9984751,COLORADO,8,1986,June,Tornado,6,0,0,0,2.5M,0,0,,F2,1,50,39.72,-104.9
10153414,VIRGINIA,51,1986,October,Tornado,1,0,0,0,250K,0,0,,F2,13.9,450,37.02,-77.37
10083114,NORTH DAKOTA,38,1986,June,Tornado,1,0,0,0,2.5M,0,0,,F3,8,2000,48.93,-100.6
10148603,WEST VIRGINIA,54,1986,October,Tornado,1,0,0,0,250K,0,0,,F3,1,200,39.3,-80.78
10005579,ILLINOIS,17,1986,June,Tornado,1,0,0,0,25K,0,0,,F1,0.3,10,40.55,-91.38
10081039,NEBRASKA,31,1989,June,Tornado,1,0,0,0,0K,0,0,,F0,0.2,40,40.58,-98.52
10114857,PENNSYLVANIA,42,1989,June,Tornado,1,0,0,0,25K,0,0,,F2,2,23,40.37,-77.5
10109753,SOUTH CAROLINA,45,1989,June,Tornado,1,0,0,0,2.5M,0,0,,F1,1,50,34.72,-80.67
10087299,NORTH CAROLINA,37,1989,June,Tornado,1,0,0,0,250K,0,0,,F1,0.1,20,36.07,-75.7
10044492,LOUISIANA,22,1989,June,Tornado,6,0,0,0,250K,0,0,,F2,5,77,30.68,-93.23
9985997,DELAWARE,10,1989,June,Tornado,1,0,0,0,2.5M,0,0,,F2,2,100,39.78,-75.68
10044512,LOUISIANA,22,1989,June,Tornado,1,0,0,0,250K,0,0,,F1,0.5,77,30.45,-90.93
10044515,LOUISIANA,22,1989,June,Tornado,1,0,0,0,250K,0,0,,F1,2.5,40,30.72,-90.48
10000063,FLORIDA,12,1989,June,Tornado,1,0,0,0,25K,0,0,,F1,0.2,10,30.33,-87.22
10118440,PENNSYLVANIA,42,1989,June,Tornado,1,0,0,0,25K,0,0,,F2,0.5,50,39.95,-75.15
10001225,FLORIDA,12,1989,October,Tornado,1,0,0,0,250K,0,0,,F1,0.2,10,31,-85.52
10004891,ILLINOIS,17,1989,January,Tornado,6,0,0,0,2.5M,0,0,,F2,3,100,38.23,-88.35
10147627,WASHINGTON,53,1989,June,Tornado,1,0,0,0,2.5K,0,0,,F1,1.6,13,45.88,-122.67
9993165,ARKANSAS,5,1989,June,Tornado,6,0,0,0,250K,0,0,,F2,1,50,35.48,-92.4
10001133,FLORIDA,12,1989,June,Tornado,1,0,0,0,25K,0,0,,F1,1,30,30.07,-84.48
10028440,IOWA,19,1989,June,Tornado,1,0,0,0,25K,0,0,,F0,0.2,20,42.78,-91.1
10139048,TEXAS,48,1989,June,Tornado,1,0,0,0,0K,0,0,,F0,0.2,10,29.52,-94.48
5614255,MISSISSIPPI,28,1997,June,Lightning,1,0,0,0,,,,,,,,,
5618577,MICHIGAN,26,1997,June,Lightning,1,0,0,0,,,,,,,,,
5624407,FLORIDA,12,1997,June,Lightning,1,0,0,0,,,,,,,,,
5607755,LOUISIANA,22,1997,June,Lightning,1,0,0,0,5K,,,,,,,,
5612644,NEBRASKA,31,1997,June,Lightning,1,0,0,0,,,,,,,,,
5615469,FLORIDA,12,1997,June,Lightning,1,0,0,0,0,0,,,,,,,
5615819,FLORIDA,12,1997,June,Lightning,1,0,0,0,0,0,,,,,,,
5615820,FLORIDA,12,1997,June,Lightning,1,0,0,0,0,0,,,,,,,
5612170,TEXAS,48,1997,June,Lightning,1,0,0,0,,,,,,,,,
